role,allowConditions,domain,entity,action
employee,(false),mobile,collaborate,view
employee,(false),pushnotification,registration,*
employee,(false),mobile,communicate,view
employee,(false),externalContacts,externalOrganization,*
employee,(false),attributes,attribute,view
employee,(false),externalContacts,contact,*
employee,(false),chat,giphy,access
Digital Agent,(false),learning,assignment,participate
Digital Agent,(false),wfm,agentShiftTradeRequest,participate
Digital Agent,(false),directory,user,view
Digital Agent,(false),conversation,email,forward
Digital Agent,(false),conversation,email,create
Digital Agent,(false),conversation,email,accept
Digital Agent,(false),recording,recordingSegment,view
Digital Agent,(false),journey,event,view
Digital Agent,(false),wfm,agentSchedule,view
Digital Agent,(false),wfm,agentSchedule,utilizeLoadBased
Digital Agent,(false),journey,eventtype,view
Digital Agent,(false),agentUI,*,view
Digital Agent,(false),responses,library,view
Digital Agent,(false),gamification,scorecard,view
Digital Agent,(false),gamification,leaderboard,view
Digital Agent,(false),recording,annotation,add
Digital Agent,(false),recording,annotation,view
Digital Agent,(false),recording,annotation,delete
Digital Agent,(false),wfm,agentAdherence,notify
Digital Agent,(false),ui,agentDashboardEvaluations,view
Digital Agent,(false),ui,agentQueueActivity,view
Digital Agent,(false),routing,agent,onqueue
Digital Agent,(false),coaching,appointment,participate
Digital Agent,(false),analytics,conversationAggregate,view
Digital Agent,(false),acdvideo,session,view
Digital Agent,(false),analytics,conversationDetail,view
Digital Agent,(false),quality,evaluation,view
Digital Agent,(false),quality,evaluation,editAgentSignoff
Digital Agent,(false),journey,session,view
Digital Agent,(false),conversation,conference,add
Digital Agent,(false),ui,agentDashboardStatus,view
Digital Agent,(false),conversation,message,view
Digital Agent,(false),conversation,message,create
Digital Agent,(false),conversation,message,accept
Digital Agent,(false),routing,queue,view
Digital Agent,(false),routing,queue,search
Digital Agent,(false),routing,queue,join
Digital Agent,(false),ui,digitalDesktop,view
Digital Agent,(false),analytics,userAggregate,view
Digital Agent,(false),analytics,tabConfigurations,view
Digital Agent,(false),analytics,tabConfigurations,edit
Digital Agent,(false),analytics,tabConfigurations,delete
Digital Agent,(false),analytics,agentConversationDetail,view
Digital Agent,(false),quality,evaluation,participate
Digital Agent,(false),analytics,queueObservation,view
Digital Agent,(false),conversation,recording,pause
Digital Agent,(false),quality,surveyForm,view
Digital Agent,(false),analytics,dataExport,add
Digital Agent,(false),analytics,dataExport,view
Digital Agent,(false),analytics,dataExport,edit
Digital Agent,(false),analytics,dataExport,delete
Digital Agent,(false),journey,sessiontype,view
Digital Agent,(false),analytics,userObservation,view
Digital Agent,(false),quality,evaluationForm,view
Digital Agent,(false),externalContacts,conversation,associate
Digital Agent,(false),responses,response,view
Digital Agent,(false),conversation,webmessaging,view
Digital Agent,(false),conversation,webmessaging,create
Digital Agent,(false),conversation,webmessaging,accept
Digital Agent,(false),scripter,publishedScript,view
Digital Agent,(false),recording,screenRecording,participate
Digital Agent,(false),recording,media,record
Digital Agent,(false),recording,recording,restore
Digital Agent,(false),ui,agentDashboardPerformance,view
Digital Agent,(false),quality,survey,participate
Digital Agent,(false),wfm,agentTimeOffRequest,submit
Digital Agent,(false),recording,recording,view
Digital Agent,(false),ui,agentActivity,view
Digital Agent,(false),routing,wrapupCode,view
Email Ninja_Supervisor,(false),analytics,queueObservation,view
Email Ninja_Supervisor,(false),conversation,participant,wrapup
Email Ninja_Supervisor,(false),conversation,communication,*
Email Ninja_Supervisor,(false),analytics,conversationDetail,view
Email Ninja_Supervisor,(false),ui,agentDashboardEvaluations,view
Email Ninja_Supervisor,(false),analytics,conversationAggregate,view
Email Ninja_Supervisor,(false),conversation,email,pull
Email Ninja_Supervisor,(false),conversation,email,assign
Email Ninja_Supervisor,(false),routing,queue,*
Email Ninja_Supervisor,(false),routing,email,*
Email Ninja_Supervisor,(false),routing,wrapupCode,view
Email Ninja,(false),analytics,conversationDetail,view
Email Ninja,(false),ui,agentDashboardEvaluations,view
Email Ninja,(false),analytics,userDetail,view
Email Ninja,(false),conversation,participant,wrapup
Email Ninja,(false),conversation,communication,*
Email Ninja,(false),integrations,integration,view
Email Ninja,(false),analytics,queueObservation,view
Email Ninja,(false),routing,wrapupCode,view
Email Ninja,(false),routing,email,*
Email Ninja,(false),routing,queue,*
Email Ninja,(false),conversation,email,pull
Email Ninja,(false),conversation,email,assign
Email Ninja,(false),analytics,conversationAggregate,view
Co-browse Agent,(false),cobrowse,session,view
Co-browse Agent,(false),cobrowse,session,activate
Email Ninja_Admin,(false),routing,queue,*
Email Ninja_Admin,(false),analytics,queueObservation,view
Email Ninja_Admin,(false),routing,email,*
Email Ninja_Admin,(false),analytics,conversationDetail,view
Email Ninja_Admin,(false),analytics,conversationAggregate,view
Email Ninja_Admin,(false),conversation,email,pull
Email Ninja_Admin,(false),conversation,email,assign
Email Ninja_Admin,(false),ui,agentDashboardEvaluations,view
Email Ninja_Admin,(false),conversation,participant,wrapup
Email Ninja_Admin,(false),routing,wrapupCode,view
Email Ninja_Admin,(false),conversation,communication,*
Engage User,(false),recording,annotation,add
Engage User,(false),quality,survey,participate
Engage User,(false),gamification,leaderboard,view
Engage User,(false),learning,assignment,participate
Engage User,(false),analytics,dataExport,add
Engage User,(false),analytics,dataExport,view
Engage User,(false),analytics,dataExport,edit
Engage User,(false),analytics,dataExport,delete
Engage User,(false),routing,wrapupCode,view
Engage User,(false),conversation,email,forward
Engage User,(false),conversation,email,create
Engage User,(false),conversation,email,accept
Engage User,(false),conversation,webchat,accept
Engage User,(false),integration,microsoftTeamsEmbeddedClient,*
Engage User,(false),routing,agent,onqueue
Engage User,(false),ui,agentDashboardStatus,view
Engage User,(false),journey,sessiontype,view
Engage User,(false),externalContacts,externalOrganization,view
Engage User,(false),journey,segment,view
Engage User,(false),journey,segment,edit
Engage User,(false),externalContacts,customFields,view
Engage User,(false),conversation,message,view
Engage User,(false),conversation,message,create
Engage User,(false),conversation,message,accept
Engage User,(false),directory,user,view
Engage User,(false),responses,response,view
Engage User,(false),ui,agentDashboardEvaluations,view
Engage User,(false),recording,media,record
Engage User,(false),analytics,userObservation,view
Engage User,(false),journey,session,view
Engage User,(false),wfm,agentShiftTradeRequest,participate
Engage User,(false),scripter,publishedScript,view
Engage User,(false),scripter,publishedScript,search
Engage User,(false),quality,evaluation,editAgentSignoff
Engage User,(false),routing,queue,view
Engage User,(false),routing,queue,search
Engage User,(false),routing,queue,join
Engage User,(false),journey,eventtype,view
Engage User,(false),recording,annotation,delete
Engage User,(false),quality,evaluationForm,view
Engage User,(false),conversation,call,add
Engage User,(false),conversation,call,record
Engage User,(false),conversation,call,accept
Engage User,(false),analytics,conversationDetail,view
Engage User,(false),wfm,agentTimeOffRequest,submit
Engage User,(false),analytics,tabConfigurations,view
Engage User,(false),analytics,tabConfigurations,edit
Engage User,(false),analytics,tabConfigurations,delete
Engage User,(false),analytics,dashboardConfigurations,view
Engage User,(false),recording,annotation,view
Engage User,(false),responses,library,view
Engage User,(false),ui,agentDashboardPerformance,view
Engage User,(false),conversation,callback,create
Engage User,(false),conversation,callback,accept
Engage User,(false),wfm,agentAdherence,notify
Engage User,(false),analytics,queueObservation,view
Engage User,(false),recording,recording,view
Engage User,(false),recording,recording,restore
Engage User,(false),gamification,scorecard,view
Engage User,(false),quality,surveyForm,view
Engage User,(false),journey,event,view
Engage User,(false),conversation,conference,add
Engage User,(false),wfm,agentSchedule,view
Engage User,(false),wfm,agentSchedule,utilizeLoadBased
Engage User,(false),coaching,appointment,participate
Engage User,(false),externalContacts,conversation,associate
Engage User,(false),ui,agentActivity,view
Engage User,(false),acdvideo,session,view
Engage User,(false),integration,microsoftTeams,*
Engage User,(false),recording,screenRecording,participate
Engage User,(false),externalContacts,identity,promote
Engage User,(false),externalContacts,identity,merge
Engage User,(false),externalContacts,contact,add
Engage User,(false),externalContacts,contact,view
Engage User,(false),externalContacts,contact,edit
Engage User,(false),quality,evaluation,view
Engage User,(false),ui,agentQueueActivity,view
Engage User,(false),quality,evaluation,participate
Engage User,(false),externalContacts,session,view
Engage User,(false),conversation,recording,pause
Engage User,(false),analytics,userAggregate,view
Engage User,(false),analytics,conversationAggregate,view
Developer,(false),oauth,client,add
Developer,(false),oauth,client,view
Developer,(false),oauth,client,edit
Developer,(false),oauth,client,delete
Developer,(false),integrations,integration,*
Developer,(false),authorization,role,view
Developer,(false),messaging,integration,*
Developer,(false),messaging,whatsappIntegration,*
Developer,(false),integration,botconnector,*
Developer,(false),integrations,action,*
Open Messaging Gateway,(false),integrations,integration,view
Open Messaging Gateway,(false),messaging,integration,*
Open Messaging Gateway,(false),conversation,message,*
Open Messaging Gateway,(false),routing,message,*
Outbound Admin,(false),analytics,dataExport,add
Outbound Admin,(false),analytics,dataExport,view
Outbound Admin,(false),analytics,dataExport,edit
Outbound Admin,(false),analytics,dataExport,delete
Outbound Admin,(false),reporting,outbound,view
Outbound Admin,(false),scripter,publishedScript,view
Outbound Admin,(false),scripter,publishedScript,search
Outbound Admin,(false),outbound,*,*
Outbound Admin,(false),analytics,conversationAggregate,view
Outbound Admin,(false),architect,dependencyTracking,view
Outbound Admin,(false),architect,ui,view
Outbound Admin,(false),architect,flow,search
Outbound Admin,(false),architect,flow,view
Outbound Admin,(false),telephony,sites,view
Outbound Admin,(false),architect,userPrompt,view
Outbound Admin,(false),conversation,call,barge
Outbound Admin,(false),conversation,call,monitor
Outbound Admin,(false),conversation,call,coach
Outbound Admin,(false),routing,queue,view
Outbound Admin,(false),routing,queue,search
Outbound Admin,(false),routing,queue,join
Outbound Admin,(false),routing,wrapupCode,view
Outbound Admin,(false),conversation,callback,create
Outbound Admin,(false),architect,systemPrompt,view
Outbound Admin,(false),conversation,participant,wrapup
Outbound Admin,(false),conversation,communication,disconnect
Outbound Admin,(false),conversation,communication,view
Outbound Admin,(false),conversation,communication,transfer
Outbound Admin,(false),conversation,communication,target
Master Admin,(false),analytics,dataRetention,view
Master Admin,(false),analytics,dataRetention,edit
Master Admin,(false),reporting,*,*
Master Admin,(false),messaging,facebookIntegration,*
Master Admin,(false),recording,media,record
Master Admin,(false),sms,phoneNumber,*
Master Admin,(false),analytics,tabConfigurations,*
Master Admin,(false),recording,retentionPolicy,add
Master Admin,(false),recording,retentionPolicy,view
Master Admin,(false),recording,retentionPolicy,edit
Master Admin,(false),recording,retentionPolicy,delete
Master Admin,(false),learning,rule,*
Master Admin,(false),responseAssets,asset,*
Master Admin,(false),sso,provider,add
Master Admin,(false),sso,provider,view
Master Admin,(false),sso,provider,edit
Master Admin,(false),sso,provider,delete
Master Admin,(false),presence,userPrimarySource,view
Master Admin,(false),presence,userPrimarySource,edit
Master Admin,(false),architect,*,*
Master Admin,(false),recording,screenRecording,download
Master Admin,(false),recording,screenRecording,view
Master Admin,(false),recording,screenRecording,participate
Master Admin,(false),recording,screenRecording,restore
Master Admin,(false),recording,screenRecording,stop
Master Admin,(false),recording,screenRecording,editRetention
Master Admin,(false),messaging,whatsappIntegration,*
Master Admin,(false),scripter,*,*
Master Admin,(false),routing,message,*
Master Admin,(false),externalContacts,conversation,associate
Master Admin,(false),bridge,actions,view
Master Admin,(false),analytics,insightConfigurations,*
Master Admin,(false),analytics,conversationDetail,view
Master Admin,(false),analytics,botAggregate,view
Master Admin,(false),messaging,twitterIntegration,*
Master Admin,(false),learning,assignment,*
Master Admin,(false),analytics,flowAggregate,view
Master Admin,(false),messaging,whatsAppIntegration,*
Master Admin,(false),integrations,*,*
Master Admin,(false),responses,*,*
Master Admin,(false),recording,recordingSegment,view
Master Admin,(false),wfm,*,*
Master Admin,(false),audits,interactionDetails,view
Master Admin,(false),analytics,surveyAggregate,view
Master Admin,(false),recording,settings,editScreenRecordings
Master Admin,(false),routing,*,*
Master Admin,(false),messaging,message,*
Master Admin,(false),recording,encryptionKey,view
Master Admin,(false),recording,encryptionKey,edit
Master Admin,(false),coaching,*,*
Master Admin,(false),authorization,*,*
Master Admin,(false),recording,recording,download
Master Admin,(false),recording,recording,view
Master Admin,(false),recording,recording,restore
Master Admin,(false),recording,recording,editRetention
Master Admin,(false),recording,recording,delete
Master Admin,(false),speechAndTextAnalytics,program,*
Master Admin,(false),learning,module,*
Master Admin,(false),speechAndTextAnalytics,topic,*
Master Admin,(false),messaging,conversationInstagramIntegration,*
